cluster	gene_name	gene_id	isTF	E9.5VSE10.5_l2fc	E9.5VSE10.5_padj	E10.5VSE11.5_l2fc	E10.5VSE11.5_padj	E11.5VSE12.5_l2fc	E11.5VSE12.5_padj
Ect1	Slc22a23	ENSMUSG00000038267	FALSE	NA	NA	NA	NA	NA	NA
Ect4	Zscan10	ENSMUSG00000023902	TRUE	2.1904223024495	1.96982803647111e-09	NA	NA	NA	NA
Ect3	Tubb6	ENSMUSG00000001473	FALSE	NA	NA	-2.46642141742159	1.3519553107068e-06	-2.55577535086109	1.44909395979107e-06
Ect1	Dcn	ENSMUSG00000019929	FALSE	NA	NA	NA	NA	4.03661882613888	2.27644767876305e-09
Ect2	Col5a2	ENSMUSG00000026042	FALSE	-3.78570600676953	2.301031026097e-35	NA	NA	NA	NA
Ect3	Col13a1	ENSMUSG00000058806	FALSE	NA	NA	NA	NA	-2.82250387449783	0.000132836526335734
Ect6	Fndc3c1	ENSMUSG00000033737	FALSE	NA	NA	NA	NA	-2.14410527326598	1.19373408508972e-05
Ect3	Igdcc3	ENSMUSG00000032394	FALSE	NA	NA	-3.05502927137067	8.2470397870609e-08	-2.81039559268586	0.000235704584954855
Ect2	Tagln	ENSMUSG00000032085	FALSE	-3.27214240896014	2.41087459365839e-18	NA	NA	NA	NA
Ect1	Ambn	ENSMUSG00000029288	FALSE	-4.10053383048458	0.00174581621483105	3.49295864718099	1.85992125793435e-06	NA	NA
Ect6	Trabd2b	ENSMUSG00000070867	FALSE	2.24861632916459	4.45860699126189e-05	NA	NA	NA	NA
Ect6	Rgl3	ENSMUSG00000040146	FALSE	NA	NA	NA	NA	NA	NA
Ect1	Btbd11	ENSMUSG00000020042	TRUE	NA	NA	NA	NA	NA	NA
Ect6	Met	ENSMUSG00000009376	FALSE	NA	NA	NA	NA	NA	NA
Ect2	Cers3	ENSMUSG00000030510	TRUE	-3.38248228453301	1.00322208027687e-07	NA	NA	NA	NA
Ect4	Car3	ENSMUSG00000027559	FALSE	4.96620741700845	1.15324034338403e-11	NA	NA	NA	NA
Ect2	Fat4	ENSMUSG00000046743	FALSE	-4.01613103992659	1.25286503131181e-39	NA	NA	NA	NA
Ect2	Fbln2	ENSMUSG00000064080	FALSE	-2.3150495081547	6.37377624712528e-17	NA	NA	NA	NA
Ect1	Crim1	ENSMUSG00000024074	FALSE	NA	NA	NA	NA	NA	NA
