cluster	gene_name	gene_id	isTF	E9.5VSE10.5_l2fc	E9.5VSE10.5_padj	E10.5VSE11.5_l2fc	E10.5VSE11.5_padj	E11.5VSE12.5_l2fc	E11.5VSE12.5_padj
Mes1	Pax3	ENSMUSG00000004872	TRUE	4.88265970553316	2.37470752918352e-14	NA	NA	NA	NA
Mes5	H2-Q4	ENSMUSG00000035929	FALSE	-1.96990090706974	0.000101797941395552	NA	NA	NA	NA
Mes3	Nsun2	ENSMUSG00000021595	FALSE	NA	NA	NA	NA	NA	NA
Mes5	Enpp1	ENSMUSG00000037370	FALSE	-4.84104391919349	5.6920458321501e-11	NA	NA	NA	NA
Mes4	Gprin2	ENSMUSG00000071531	FALSE	NA	NA	NA	NA	1.61591232963003	0.0180384383309393
Mes5	Efr3b	ENSMUSG00000020658	FALSE	-1.75027297420387	6.68887853762233e-07	NA	NA	NA	NA
Mes1	Gata6	ENSMUSG00000005836	TRUE	2.97889812723084	1.17604252247984e-10	NA	NA	NA	NA
Mes4	Fgf13	ENSMUSG00000031137	FALSE	NA	NA	NA	NA	NA	NA
Mes5	Dclk1	ENSMUSG00000027797	FALSE	-1.78878626079136	3.07857339620439e-06	NA	NA	NA	NA
Mes4	Sulf1	ENSMUSG00000016918	FALSE	NA	NA	3.75986998509841	6.46238323426136e-19	NA	NA
Mes1	Arg1	ENSMUSG00000019987	FALSE	4.55193920291329	2.65455356712152e-19	NA	NA	NA	NA
Mes4	Slain1	ENSMUSG00000055717	FALSE	NA	NA	2.43485250557166	2.59426604736987e-05	NA	NA
Mes4	Gfra2	ENSMUSG00000022103	FALSE	NA	NA	4.22398620305765	3.32215169429264e-08	NA	NA
Mes5	Slc1a3	ENSMUSG00000005360	FALSE	-2.23127791227061	2.59764531765075e-11	NA	NA	NA	NA
Mes4	Rffl	ENSMUSG00000020696	FALSE	NA	NA	NA	NA	NA	NA
Mes1	Scn2b	ENSMUSG00000070304	FALSE	1.78316657519714	3.69781971732292e-07	NA	NA	NA	NA
Mes3	Fignl2	ENSMUSG00000095440	FALSE	NA	NA	-2.13542357372942	7.50226882737154e-08	NA	NA
Mes5	Cacna1g	ENSMUSG00000020866	FALSE	-1.50505110567153	3.36798365938514e-06	NA	NA	NA	NA
Mes5	Scn11a	ENSMUSG00000034115	FALSE	-10.4577559305495	3.80515682060794e-10	NA	NA	NA	NA
Mes1	Nup210	ENSMUSG00000030091	FALSE	1.72161169998819	4.21672383667254e-07	NA	NA	NA	NA
Mes3	Dmd	ENSMUSG00000045103	FALSE	1.59307772831229	8.98505651404442e-06	NA	NA	NA	NA
Mes5	Trib2	ENSMUSG00000020601	FALSE	-2.94476610302789	8.06315601674337e-19	NA	NA	NA	NA
Mes2	Pklr	ENSMUSG00000041237	FALSE	NA	NA	-1.80388968033309	0.00822521456326444	-2.94130868316122	0.0180384383309393
Mes4	Mturn	ENSMUSG00000038065	FALSE	-2.02236744654422	9.53950830205088e-05	NA	NA	NA	NA
Mes1	Skap2	ENSMUSG00000059182	FALSE	2.12804122449825	1.24524076484953e-09	NA	NA	NA	NA
Mes4	Mr1	ENSMUSG00000026471	FALSE	NA	NA	NA	NA	NA	NA
Mes5	Evx2	ENSMUSG00000001815	FALSE	-7.63561507746513	5.81037612864192e-26	NA	NA	NA	NA
Mes4	Trp53inp1	ENSMUSG00000028211	FALSE	-1.74511849415762	0.000236314140341999	NA	NA	NA	NA
Mes4	Kcnab1	ENSMUSG00000027827	FALSE	NA	NA	2.78486406398305	0.0447404592223766	2.34796963686751	0.000444098279137814
Mes3	Hspd1	ENSMUSG00000025980	FALSE	NA	NA	NA	NA	NA	NA
Mes5	Gatsl2	ENSMUSG00000015944	FALSE	-2.20699746494355	1.58472161755904e-10	NA	NA	NA	NA
Mes4	Adamts5	ENSMUSG00000022894	FALSE	-1.79747306363069	0.00104162010394856	NA	NA	2.60228144632575	9.98902389693264e-07
Mes4	Runx1	ENSMUSG00000022952	FALSE	NA	NA	2.2171254324746	4.06648696089892e-05	NA	NA
Mes4	Fgf2	ENSMUSG00000037225	FALSE	-2.69558392837952	6.0115488335225e-07	NA	NA	NA	NA
Mes6	Lmo2	ENSMUSG00000032698	TRUE	-2.14507044993511	6.34658101743499e-13	NA	NA	NA	NA
Mes3	Gbx2	ENSMUSG00000034486	TRUE	NA	NA	-4.60880683086995	4.33822545309841e-07	NA	NA
Mes1	Amph	ENSMUSG00000021314	FALSE	3.49532348436468	1.40489946831164e-08	NA	NA	NA	NA
Mes3	Itga9	ENSMUSG00000039115	FALSE	NA	NA	NA	NA	NA	NA
